 ID,Name,Laulun kuvake,Video url,audio instrumental,Aiheet,audio,Tulosteet,Nuotit,järjestysnumero,Created,Updated
58,MIKÄ MAA?,"{'url':'6b4af9d7b02e7efe3bc84aa4396f8207a2d4694edd7a0d7d028b6474ad40ea82.png','size':13308,'width':512,'height':512,'filename':'MUOK_Mikä maa?.png','metadata':{'width':512,'height':512,'blurHash':'emQ^5Q%M~XkC9Z-qofNGWBj[%3WBM{xbt7oyj[t7fjj[%3j[Ioayt7','blurHashWidth':32}}",https://player.vimeo.com/video/916478882,"{'url':'c3ee03695d28ba737ffaf64ec61bf8792418c8e85bed1d393e32fae0add839d1.mp3','size':7151198,'filename':'MikÃ¤ maa__KARAOKE.mp3'}",YHTEISKUNTA & YMPÄRISTÖ,"{'url':'3e71d0ca1a27b0e08d791e417aa322338709a00b3d8080ecf4f8b15244ee20ab.m4a','size':6015089,'filename':'Mikä maa_.m4a'}",,"{'url':'22eecd7704a1dc29cc1c6e4daf05df18b7a1fcdb95eb4a1a74210866c09805c4.pdf','size':194267,'filename':'Mikä maa_.pdf'}",58,2024-02-03T10:40:33.827Z,2024-09-30T17:40:55.441Z
57,UUTISET,"{'url':'faf7552660e90ba18009832028b972be7dd26623003fd92adcd794734d10a6fc.png','size':68243,'width':676,'height':676,'filename':'MUOK_Uutiset.png','metadata':{'width':676,'height':676,'blurHash':'eQSY?X-;%h%Mxu-;j[a|ayay?wayITt7RP%Mj[j[ofofMxofofRjt7','blurHashWidth':32}}",https://player.vimeo.com/video/937884840,"{'url':'2301f7df840441fc089272d39f4c37e009e50006947e0514d220e1427312a6b9.mp3','size':8093216,'filename':'Kielinuppu_Uutiset 2024-10-18 instr-St.mp3'}",YHTEISKUNTA & YMPÄRISTÖ,"{'url':'cddc15171271969c885e000cbcd8c65f6b7e8278f0b49848f35d111b73e8388f.mp3','size':8014916,'filename':'Uutiset.mp3'}","{'url':'1103d12593bcd31e791b1e46a910bfcd99fa2be46f4be6e7edaf408377c45705.pdf','size':599379,'filename':'Uutiset.pdf'}","{'url':'627d1125d5c87422e4da11d86421f0838716f2f9d9132716630e18de097ee62c.pdf','size':374737,'filename':'Uutiset.pdf'}",57,2024-02-03T10:40:07.346Z,2024-10-30T11:36:19.696Z
56,KIERRÄTÄMME,"{'url':'2f6f7846c11f2677f6d9f1340f97206b3422f96b994b00347a0ba6852df4b51d.png','size':53975,'width':676,'height':676,'filename':'MUOK_Kierrätämme.png','metadata':{'width':676,'height':676,'blurHash':'ekP7Rat7~Xxu-=bYj[t7j[j[^-ofITfQIn%NfPayj[WB-;j[InayoM','blurHashWidth':32}}",https://player.vimeo.com/video/938097622,"{'url':'886bc64b475e3d72350d860661b2852eab22926520a3bc946da3f65cef9ba061.mp3','size':7884416,'filename':'Kierrätämme_KARAOKE.mp3'}",YHTEISKUNTA & YMPÄRISTÖ,"{'url':'6c2374895729a7a225a76932a1aafbe394be5776b361047a0ed6cbd5c8b50665.mp3','size':7884416,'filename':'Kierrätämme.mp3'}","{'url':'64a15804649fd87ad1b4df2b99fd4f62d42346a9844245a6e0cdbf44775c1a08.pdf','size':1913178,'filename':'Kierrätämme.pdf'}","{'url':'81bf4aa7820ec34ae3977e0abb6301ba01940973c6462a558cde05df666756d3.pdf','size':168323,'filename':'Kierratamme.pdf'}",56,2024-02-03T10:39:37.801Z,2024-09-30T17:41:15.388Z
55,JUHLIA JUHLITAAN,"{'url':'bd7a5619956498f9adb9f528efcfc80e3d1b786729e1995cc9cd19f770259415.png','size':66972,'width':676,'height':676,'filename':'MUOKJuhlia juhlitaan.png','metadata':{'width':676,'height':676,'blurHash':'ePSFw.-p*0%g$L-=ofW-kWf6?^S5Q-sANx%yX7enVra~xJs;NsWVs9','blurHashWidth':32}}",https://player.vimeo.com/video/940834425,"{'url':'365db9a938524a058711e681016348e0c4950f12fda20e206736e3823d52a9f8.mp3','size':7073228,'filename':'Kielinuppu_Juhlia juhlitaan 2024-10-18 instr-St.mp3'}",YHTEISKUNTA & YMPÄRISTÖ,"{'url':'cba9d910bd5dce15cce6aa20d40df8daa93391c537201c69cf63afea0ca24a8e.mp3','size':7007456,'filename':'Juhlia juhlitaan.mp3'}","{'url':'43c96c7be1e6da29cedf41bd18a644a0839eb787d80d9b62ce37f43541dd20e1.pdf','size':1033127,'filename':'Juhlia juhlitaan.pdf'}","{'url':'cc4d51ab6f0c7b564389edd8c3c161792ae09a16f9d8df5cd5c7d116f2d93198.pdf','size':198082,'filename':'Juhlia juhlitaan.pdf'}",55,2024-02-03T10:39:18.052Z,2024-10-18T13:26:17.416Z
54,AMMATIT,"{'url':'61cc62d70ae832d5da93fa8d6b58d74ef04544cc8934301b91157e60ec96360c.png','size':62733,'width':676,'height':676,'filename':'MUOK Ammatit.png','metadata':{'width':676,'height':676,'blurHash':'eqR3K7xa_N%MD%%2f6S5kCe.%Nj[Mxaet7T0fk$zj?R-x]j]M{aeoz','blurHashWidth':32}}",https://player.vimeo.com/video/940646994,"{'url':'d564afa1df39d4b3088bc8d597daa74da9e00c78f9d07c94d022dea18781801e.mp3','size':6211835,'filename':'Ammatit_KARAOKE.mp3'}",YHTEISKUNTA & YMPÄRISTÖ,"{'url':'d892e001405dbdfdf183ae70d9443d367b0413d3e404c5ccbd449c7778eb6796.m4a','size':5121482,'filename':'Ammatit.m4a'}","{'url':'eb1b557b4c7d33d612b52c91d49a6b0b70f67c93075b1d3197ab23f268b0b8ef.pdf','size':1627002,'filename':'Ammatit.pdf'}","{'url':'0f2a8a9e6fc18d007a1a66aa8bb22c475101c29bb15c0f11caa482e84032a42c.pdf','size':172461,'filename':'Ammatit.pdf'}",54,2024-02-03T10:38:47.629Z,2024-10-22T12:03:49.058Z
53,MISSÄ KASVAA PUNAINEN KUKKA?,"{'url':'15cc5fead737781a8d63c85de03e99e6fb4a10488256cda457f4d147d95dd71b.png','size':38935,'width':676,'height':676,'filename':'Missä kasvaa punainen_2.png','metadata':{'width':676,'height':676,'blurHash':'eWSYpyx^ys%Lw0,[n$pIkDRO%~slQ-WZSfyqXAQ-nNx^kWazV@j?of','blurHashWidth':32}}",https://player.vimeo.com/video/940390105,"{'url':'51415d14e60f89298243c89015cda80ab1dc10e55a4e15ef29c8cf004870b96e.mp3','size':3606905,'filename':'MissÃ¤ kasvaa punainen kukka_KARAOKE.mp3'}",VÄRIT & MATERIAALIT,"{'url':'bd012b873f72fe51928fac3bc1fcb2a37e507046bba5e9315867f1633ad68620.mp3','size':3599590,'filename':'15. Missä kasvaa punainen kukka.mp3'}","{'url':'db129674bb6d5d6056d5cbb07b6b3a8c6de6c9145c312ec94a279edf22601729.pdf','size':1175147,'filename':'Missä kasvaa punainen kukka.pdf'}","{'url':'9c58a906ab725fb83e7c8ff54c1d391fe2901ba3b4698746a4bbad1e92977a23.pdf','size':121139,'filename':'Missä kasvaa punainen kukka_.pdf'}",53,2024-02-03T10:37:24.071Z,2024-10-30T11:33:57.782Z
52,MOLEMMAT,"{'url':'5a8f82eb1cb4b9e40ef9a3d659fdd10816d0ab23ec3fff8222b970b25e9b2df7.png','size':74160,'width':512,'height':512,'filename':'MUOK_Molemmat.png','metadata':{'width':512,'height':512,'blurHash':'ewPQHSt7~qxuM__3ofInWVWB%MjuM{j[kCWUayaKf6xuxuj[ofj[Rj','blurHashWidth':32}}",https://player.vimeo.com/video/937866178,"{'url':'f55417a6fadfac83a0154b4d28b997304a8d76728492b8e0c798c33cf182bca0.mp3','size':6422816,'filename':'Molemmat_KARAOKE.mp3'}",KIELELLINEN HARJOITTELU,"{'url':'c613cf380a89e65f4bdf9197bf4917fbf00e1e271d5fbf8384befba8fd1c9979.mp3','size':6422816,'filename':'Molemmat.mp3'}",,"{'url':'9b5286dd23397c7b0c6a6a65364dd91b754395e08667e954869b0c9df0880fe6.pdf','size':142930,'filename':'Molemmat.pdf'}",52,2024-02-03T10:37:05.250Z,2024-10-18T13:27:03.621Z
51,VUOROTELLEN,"{'url':'467da64d1abc7ad1347740ce4fbfced0d0335553d7846dd6ee3b81ba9e95f1e6.png','size':97659,'width':676,'height':676,'filename':'MUOK_Vuorotellen.png','metadata':{'width':676,'height':676,'blurHash':'ebRyKVwbxu%g.T%LjFRPWCo#.To#WBjrR4tRj]tRofVrxuW;RjjFRj','blurHashWidth':32}}",https://player.vimeo.com/video/938170646,"{'url':'45587b3713e153a1320354a1958c4e317e5fd3a6f87dd6b14ea8b220c44433d6.mp3','size':6164815,'filename':'Vuorotellen_k.mp3'}",TUNNETAIDOT & HYVÄT TAVAT,"{'url':'e210d5765613628af7ddd18f7a0dd5bb88a3d3082cdfb6fc51f0c3a41b08266e.mp3','size':6164815,'filename':'Vuorotellen_master.mp3'}","{'url':'ed08dc4a9f3838e4298746999951ac7623bcf86c8bfa96a33f36c730243c9a8d.pdf','size':1180155,'filename':'Vuorotellen.pdf'}","{'url':'cf3ab961991fc141d2683450eaf15a0137cacff680dd029e485a69a8fba01f23.pdf','size':30556,'filename':'Vuorotellen.pdf'}",51,2024-02-03T10:36:15.235Z,2024-10-24T10:58:19.928Z
50,SANO EI,"{'url':'da777eb5f610182d641e4f831a3fe599a85d65f04754e911e23c13463757427a.png','size':156172,'width':676,'height':676,'filename':'MUOK_Sano ei.png','metadata':{'width':676,'height':676,'blurHash':'esQJAqxt_N%Mfk.7V@afozM{x]t8RPRjWAx]bHRijZt8t7jYV@a#kC','blurHashWidth':32}}",https://player.vimeo.com/video/936792716,"{'url':'1c3f0793f77f9e6bfb6f1349ea5a1a02c1abf2cad7691aaaa69ee64cb9aa997e.mp3','size':7576472,'filename':'Sano ei_k.mp3'}",TUNNETAIDOT & HYVÄT TAVAT,"{'url':'a9ad524e309854416cd10a01f76e43ec86c353c03706f6338038d6ddcffecde9.mp3','size':7576472,'filename':'Sano ei_master.mp3'}",,"{'url':'79688627c0a387543bfdef8b5e23c0d5463be846da579f1abb18685f49969803.pdf','size':41502,'filename':'Sano ei.pdf'}",50,2024-02-03T10:35:54.733Z,2024-10-21T18:15:31.424Z
49,MILTÄ TUNTUU NALLESTA?,"{'url':'b064b7354e5e2a3c462bffe3e4fcab3baf3071557d9e2f60cc1818e47d9cc1b3.png','size':32824,'width':512,'height':512,'filename':'MUOK_Miltä tuntuu nallesta?.png','metadata':{'width':512,'height':512,'blurHash':'ewSYgWxu*0xtR4xuj[ayj[kCtmf6ROj[ozxuj[ayj[f6tSf6Vsj[kC','blurHashWidth':32}}",https://player.vimeo.com/video/938131480,"{'url':'3141692c6e2fd90fad9be879ca06853245aa8c565076465daf6357daa7b41a21.mp3','size':8508521,'filename':'Miltä tuntuu nallesta__KARAOKE.mp3'}",TUNNETAIDOT & HYVÄT TAVAT,"{'url':'808d4cfb0116a445005e8e4bed324c38b42be9d9ed3c0148d2dcce862129d466.m4a','size':7039823,'filename':'Miltä tuntuu nallesta_.m4a'}","{'url':'ffa904444cf2ebcadc1b19f19e424d0ecf23ac0ccf37469d2d36fecd81a47aeb.pdf','size':1618173,'filename':'Miltä tuntuu nallesta.pdf'}","{'url':'0a745b4dbf5718398c9976e5b836b5f06c02ad16008a6457d79e725d096b2edc.pdf','size':149313,'filename':'Miltä tuntuu nallesta_.pdf'}",49,2024-02-03T10:35:19.168Z,2024-10-30T11:24:01.155Z
48,MINÄ AUTAN SINUA,"{'url':'faeebf8d0e7860a162fa6fc813757c4403e96650bd754fd3d61a09f72a338ce8.png','size':87133,'width':512,'height':512,'filename':'MUOK_Minä autan sinua.png','metadata':{'width':512,'height':512,'blurHash':'euReQ|xu?^t7Sz*IaKa1o}Vs%#XmM{r?enw0jFVsWBo}XSniofWVbb','blurHashWidth':32}}",https://player.vimeo.com/video/911970711,"{'url':'db0dc25f0b7a4afd768259b50d90b3e1091d99101197bc2b57656f5ad95824d3.mp3','size':6637880,'filename':'Minä autan sinua_KARAOKE.mp3'}",TUNNETAIDOT & HYVÄT TAVAT,"{'url':'7684493580ca12ccfb3164bab2b5ef142cb6cb0ea54481f9737eca42714292c5.mp3','size':6637880,'filename':'Minä autan sinua.mp3'}",,"{'url':'94e295392f405005908601cccb4ced4ff23faad7833b61b58117d0b331b24935.pdf','size':117230,'filename':'Mina autan sinua.pdf'}",48,2024-02-03T10:35:07.098Z,2024-09-30T17:42:30.575Z
47,KIUKUN KESYTYS,"{'url':'18077a491b1d930ad65052941b63f392332daaec9a80d47f8abaedb04f94e3d3.png','size':162344,'width':676,'height':676,'filename':'MUOK_Kiukun kesytys.png','metadata':{'width':676,'height':676,'blurHash':'etNm$tt7~qx[ni~pj[RkofRP?Hj@M{a#R*NLj[MxWBxuxuj]xaf6of','blurHashWidth':32}}",https://player.vimeo.com/video/911812188,"{'url':'74f4c8fa020f81f93ca1b997be7d085f2e1906aef2080251c468127b86b13f6c.mp3','size':8365700,'filename':'Kiukun kesytys_KARAOKE.mp3'}",TUNNETAIDOT & HYVÄT TAVAT,"{'url':'74dc438a429c5d4542fc0c04651ab29f20b0b5b39392c1b0ba24f7a6646461e3.mp3','size':8367788,'filename':'Kiukun kesytys.mp3'}",,"{'url':'18ac4dac293d4c368dc0bacc870b0500f9cdb4e451009c11259edf42853e9d88.pdf','size':216615,'filename':'Kiukun kesytys.pdf'}",47,2024-02-03T10:34:29.456Z,2024-09-30T17:42:37.716Z
46,HIENOJA SANOJA ON PALJON,"{'url':'20d03fe6f1cd8c359ab2eb826af2bfe947df4342c1ceff49a0bd96fe63bf0d8b.png','size':120275,'width':676,'height':676,'filename':'MUOK_Hienoja sanoja on paljon.png','metadata':{'width':676,'height':676,'blurHash':'exQ08Zt7_NxuWA_MofIUf7M{XSayjEj@kDr]f7WBayxux]j[Rjazae','blurHashWidth':32}}",https://player.vimeo.com/video/940644250,"{'url':'9a84079f627c0e31e11a4b378da5b33e5d946ac46a40152390d4eb60e740b402.mp3','size':6220194,'filename':'Hienoja sanoja on paljon_KARAOKE.mp3'}",TUNNETAIDOT & HYVÄT TAVAT,"{'url':'d031fef34db74756fd849b66e02ce1533dc01e564a0b077a6b6ce4580e60876e.mp3','size':6210790,'filename':'9. Hienoja sanoja on paljon.mp3'}",,"{'url':'6fec82ba1a45621ea345d7db05fe839e3410e5708d37d46aed1ca22bbee1dcee.pdf','size':173965,'filename':'Hienoja sanoja on paljon.pdf'}",46,2024-02-03T10:33:40.079Z,2024-10-04T10:51:41.969Z
45,TALVILAULU,"{'url':'72f44ad7b6a7754390115004199a5be8f76b283bff0972c15330d51c18ab6aaf.png','size':103463,'width':1024,'height':1024,'filename':'MUOK_Talvilaulu.png','metadata':{'width':1024,'height':1024,'blurHash':'efNwi;S$_3xZ-p9aRP-ptRj@~q%1n$ozM{-o%MW=M{WW%2M|M{t6WB','blurHashWidth':32}}",https://player.vimeo.com/video/911551241,"{'url':'7a76b362c9001d21717d9df1764988ef94c65ef39d07bd17ba4d25d29d633955.mp3','size':5858012,'filename':'Kielinuppu_Talvilaulu 2024-10-18 instr-St.mp3'}",SÄÄ & VUODENAJAT,"{'url':'fc9ac8f4b83246c860e8b388f317bb5d5ba39c2e4e96c7a1d58d4d0c90813f2d.mp3','size':5871584,'filename':'Talvilaulu 2023-11-30PM_PRINT-St.mp3'}",,"{'url':'0459ff6b848ed510c5f1f2f4b5d93fe2d20915f5ebca0ee5bc4d8146a6e2a056.pdf','size':29256,'filename':'Talvilaulu.pdf'}",45,2024-02-03T10:19:12.983Z,2024-10-21T09:05:27.190Z
44,NELJÄ VUODENAIKAA,"{'url':'0c94f88b51f47492cc766dca05ba3d927ac2d726a92016eaec3115535d30cfe9.png','size':85716,'width':676,'height':676,'filename':'MUOK_Neljä vuodenaikaa.png','metadata':{'width':676,'height':676,'blurHash':'eiR{S#s+.T%#og-;V@Rjo}j]%$kCMwadkCaJoztRVsj[x^ozV@V?Vs','blurHashWidth':32}}",https://player.vimeo.com/video/916428637,"{'url':'aaf4412c19a8b8508d54708cbafef9f59bc68b5d4430f5948f11bef1f17cb47f.mp3','size':8088472,'filename':'NeljÃ¤ vuodenaikaa_KARAOKE.mp3'}",SÄÄ & VUODENAJAT,"{'url':'0715c87af249f332157790119fde4c7ceceba7b2a84e094c122a6b46a825e9e1.mp3','size':8039362,'filename':'3. Neljä vuodenaikaa.mp3'}","{'url':'50d0d8b946ee624ddacd4d7ee172c891872678825467923455b64af2e178bf37.pdf','size':1120187,'filename':'Neljä vuodenaikaa.pdf'}","{'url':'127a47844cc41bac9160287e98ba0552f2d24f780bb986d356afed005322c212.pdf','size':199105,'filename':'Neljä vuodenaikaa.pdf'}",44,2024-02-03T10:18:52.937Z,2024-10-17T11:16:07.587Z
43,MILLAINEN SÄÄ ON TÄNÄÄN?,"{'url':'0089ba54cb2125aa9d1b01a1c39d8d7caaaebe9855a8e399c6fc72efdb11cb26.png','size':32732,'width':512,'height':512,'filename':'MUOK_Millainen sää on tänään?.png','metadata':{'width':512,'height':512,'blurHash':'eXRyd0%#?wrWt6t8ads,kXofyEROR4yDj[?GW=Ndslae-:j[M{j[WB','blurHashWidth':32}}",https://player.vimeo.com/video/916422868,"{'url':'a5531e571969743c9ab215935c2dc629dcab5e4a2a50523489320e8412800407.mp3','size':6178398,'filename':'Millainen sää on tänään_KARAOKE.mp3'}",SÄÄ & VUODENAJAT,"{'url':'12347e024bd24f3bfaf980ac267080c6f115aca0867f6a32ca2e7468a78b4f15.mp3','size':6170039,'filename':'18. Millainen sää on tänään.mp3'}","{'url':'420c073ec127f672d15377e260a046c0890507655e426a47f5ea072d5a68b32d.pdf','size':2159931,'filename':'Millainen sää on tänään.pdf'}","{'url':'949f0b6b1a3572ee58836db85ade83a7a5188aff92d4a1a31a763593601b7daa.pdf','size':142107,'filename':'Millainen sää on tänään_.pdf'}",43,2024-02-03T10:18:21.298Z,2024-10-30T11:21:59.875Z
42,TEHDÄÄN RUOKAA,"{'url':'c93ccc0351c9188752125ca76825f773cfb78343322ae5aa23b54b3ed2fbe08b.png','size':63402,'width':676,'height':676,'filename':'MUOK_Tehdään ruokaa.png','metadata':{'width':676,'height':676,'blurHash':'eQRfh2%M_4-;%M-;ofayWBjt_NofD%WCM{-=WBWAoza}xuWBRjofj[','blurHashWidth':32}}",https://player.vimeo.com/video/940012905,"{'url':'3fff9c47a17a34831435111d57c67eb0d139c8c5e14f596d74f81cc8dba2a6d8.mp3','size':7574382,'filename':'Tehdään ruokaa_k.mp3'}",RUOKA & RUOKAILU,"{'url':'93b4ba617519930af220c53b4ecb22378b0804677aec7ba1ddcbb12e21b24567.mp3','size':7574382,'filename':'Tehdään ruokaa_master.mp3'}","{'url':'a2c7a113e1feb26f0d86ff36fe6e107dc9d2ea9ed0c54e701fc4d09cd5d6a0b6.pdf','size':903049,'filename':'Tehdään ruokaa.pdf'}","{'url':'ee7c25104ea5568fd8ffbbac75c344a6c998bd6dbfad93e2e546171665e09e97.pdf','size':39266,'filename':'Nuotit_Tehdään ruokaa.pdf'}",42,2024-02-03T10:17:01.932Z,2024-10-16T15:05:35.871Z
41,MARJAT,"{'url':'8bc27cff3c3fb4086bc51b2b4861489cd94ce9e85cd274945ec077bc4e95bdb7.png','size':49500,'width':676,'height':676,'filename':'MUOK_Marjat.png','metadata':{'width':676,'height':676,'blurHash':'erSYQ{xa*0x]V?oyfks;jFW.uObbQ,jFbH-pjZS1f+niwKj[NtWBt7','blurHashWidth':32}}",https://player.vimeo.com/video/924933180,"{'url':'fe044422772d1bb725a45e48da5eaef5c88e73dd3013752f009a625e1e1b7d49.mp3','size':6401936,'filename':'Marjat_KARAOKE.mp3'}",RUOKA & RUOKAILU,"{'url':'b5fe8ccdf813d5d5f767c5a323e9d845a04bf592f9d23061780c651f018a7c34.mp3','size':6401936,'filename':'Marjat.mp3'}",,"{'url':'9e7ca81741fc60bc8ab0b5045c9891b2689f5ac752b1fcf74e54cea1faf67953.pdf','size':226670,'filename':'Marjat.pdf'}",41,2024-02-03T10:16:33.455Z,2024-10-17T10:19:44.829Z
40,RUOKAILU ALKAA,"{'url':'6cfe0b714e7b7111d79562f9026a6b6e6ccaa054d88cda750f745c9ea32b4285.png','size':61930,'width':676,'height':676,'filename':'MUOK_Ruokailu alkaa.png','metadata':{'width':676,'height':676,'blurHash':'enSh_zxt*0x]WBt8juo}kCaJtmfkVsayj@%1j[V?jYkYtmj]V?ayad','blurHashWidth':32}}",https://player.vimeo.com/video/916431164,"{'url':'125844a7eb49cebe2ec0f40af0b45060271e5c18cf18f2b80ca0b96b44c3ee19.mp3','size':3942317,'filename':'Ruokailu alkaa_KARAOKE.mp3'}",RUOKA & RUOKAILU,"{'url':'1aad788d9d173aa6dca3fb17921958c8b972024aa85ffb7ad33b15c75f16013e.mp3','size':3940227,'filename':'8. Ruokailu alkaa.mp3'}","{'url':'8572bb4a56319ba7590f159ae4f41a30b6f2299448e73f638b233ca7d3f6f210.pdf','size':591364,'filename':'Ruokailu alkaa.pdf'}","{'url':'5238eb41e68121159b9616d5fac7f58bfc6a97bc49a24315d7eef450fc881224.pdf','size':117884,'filename':'Ruokailu alkaa.pdf'}",40,2024-02-03T10:16:04.278Z,2024-09-30T17:43:38.586Z
